"QUOTE_TRANSCRIPTION", "ANCHOR", "LENGTH", "EMOTION"
"Moffen", "char-offset:7398", "length:6", "emotion:Is het gebruik van het woord "moffen" niet indirect een emotioneel begrip? Het is namelijk iets anders dan "Duitsers" of "de bezetters"."
"was geen pretje natuurlijk", "char-offset:9120", "length:26", "emotion:Onbehagen?"
"Toen begon de ellende", "char-offset:9189", "length:21", "emotion:Onbehagen?"
"Dat heb ik dus zelf met eigen ogen gezien", "char-offset:9811", "length:41", "emotion:Onderbouwing van betrouwbaarheid"
"Om je bang te maken", "char-offset:16625", "length:19", "emotion:Angst"
"Was u bang?", "char-offset:17925", "length:11", "emotion:Angst"
"Zelf vond ik het het ergste wat er was", "char-offset:17942", "length:38", "emotion:Onbehagen?"
"Ik was blij toen", "char-offset:17982", "length:16", "emotion:Vreugde"
"Dat vond ik vreselijk", "char-offset:18122", "length:21", "emotion:Onbehagen?"
"De Hollanders waren minstens net zo erg hoor", "char-offset:18658", "length:44", "emotion:Afkeer?"
"die waren zo nodig nog een aardje erger", "char-offset:18844", "length:39", "emotion:Afkeer?"
"Amersfoort was in vergelijking met andere kampen heel heel erg hoor", "char-offset:18890", "length:67", "emotion:Afkeer?"
"Het slechtse wat je maar kunt bedenken. Vreselijk.", "char-offset:20105", "length:50", "emotion:Afkeer?"
"In Amersfoort was het meer dan slecht. Dat was vreselijk, vreselijk, dat eten", "char-offset:20518", "length:77", "emotion:Afkeer?"
"het was vreselijk", "char-offset:20710", "length:17", "emotion:Afkeer?"
"Ik had het geluk", "char-offset:20889", "length:16", "emotion:?"
"dan is het veel erger", "char-offset:21085", "length:21", "emotion:?"
"vrij goed kunnen doorstaan", "char-offset:21144", "length:26", "emotion:?"
"Dat was heel slecht", "char-offset:23977", "length:19", "emotion:?"
"ben ik zelf verbaasd over mensen", "char-offset:24093", "length:32", "emotion:Verbazing"
"Het gekke is", "char-offset:17756", "length:12", "emotion:Verbazing"
"dat was het meest ruwe wat ik ook heb meegemaakt daar", "char-offset:27181", "length:53", "emotion:?"
"Vreselijk", "char-offset:15119", "length:9", "emotion:?"
"Massaal, massaal.", "char-offset:29015", "length:17", "emotion:?"
"dat werd hoe langer hoe erger", "char-offset:29119", "length:29", "emotion:?"
"ik zal je eerlijk zeggen: je versteend", "char-offset:29247", "length:38", "emotion:?"
"Dat hele regime was vreselijk. Dat was echt vreselijk", "char-offset:31098", "length:53", "emotion:?"
"Weer het buitengewone geluk", "char-offset:32640", "length:27", "emotion:?"
"Dat was ongelooflijk", "char-offset:33395", "length:20", "emotion:?"
"Dat hebben wij dus gelukkig net niet gehad", "char-offset:33560", "length:42", "emotion:?"
"Dat was ongelofelijk gelukkig", "char-offset:37673", "length:29", "emotion:?"
"Alle geluk van de wereld", "char-offset:37881", "length:24", "emotion:?"
"hadden we dus enorm geluk", "char-offset:38005", "length:25", "emotion:?"
"dat is het geluk wat ik gehad heb", "char-offset:38738", "length:33", "emotion:?"
"Die SS was vreselijk", "char-offset:39427", "length:20", "emotion:?"
"Daar zijn we echt bevriend mee geraakt", "char-offset:40434", "length:38", "emotion:Genegenheid"
"Daar raakten we echt vriendschappelijk mee in gesprek", "char-offset:44347", "length:53", "emotion:Genegenheid"
"Het gekke is", "char-offset:17756", "length:12", "emotion:Verbazing"
"vriendschappelijke verhouding met mijn vader heeft opgebouwd", "char-offset:47286", "length:60", "emotion:Genegenheid"
"Dat zijn van die merkwaardigheden", "char-offset:48293", "length:33", "emotion:Verbazing"
"was iedere Duitser voor ons een Schweinhund", "char-offset:48570", "length:43", "emotion:Woede"
"Ontzettend blij was je", "char-offset:48972", "length:22", "emotion:Blijdschap"
"Dat is ongelooflijk, dat is niet te omschrijven zo blij als je was", "char-offset:49015", "length:66", "emotion:Blijdschap"
"vriendschappelijke contacten met de Duitsers", "char-offset:50966", "length:44", "emotion:Genegenheid"
"Voelt dat ook als fijn?", "char-offset:54905", "length:23", "emotion:?"
"Ja. Heel fijn", "char-offset:54934", "length:13", "emotion:?"
"in de angst dat ze zouden vluchten", "char-offset:58188", "length:34", "emotion:Angst"
"Wat is voor u het meest indrukwekkendst geweest", "char-offset:59947", "length:47", "emotion:Ontzag"
"Die werd als straf opgehangen", "char-offset:61453", "length:29", "emotion:Ontzag"
"Dat is wel zo’n beetje het meest indrukwekkende wat ik eigenlijk meegemaakt heb.", "char-offset:61499", "length:80", "emotion:Ontzag"
"Was daar ook nog ruimte voor een lach, voor humor?", "char-offset:64230", "length:50", "emotion:Humor"
"Het was een grove humor", "char-offset:64519", "length:23", "emotion:Humor (als afweermechanisme tegen ellende)"
"Dat zeg ik eerlijk", "char-offset:65077", "length:18", "emotion:Betrouwbaarheid"
"Dat klinkt onwaarschijnlijk", "char-offset:65339", "length:27", "emotion:Betrouwbaarheid"
